year,Song Name,Authors,Album,Link
1956,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),https://open.spotify.com/track/3aEJMh1cXKEjgh52claxQp
1957,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),"Doris Day, Paul Weston And His Orchestra",Day By Night (with Paul Weston & His Music From Hollywood),https://open.spotify.com/track/2HyPrPSANTIPkR6CfiytwY
1957,I've Got a Woman,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",https://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
1957,Pennies From Heaven,"Louis Prima, Sam Butera & The Witnesses",The Call Of The Wildest (Expanded Edition),https://open.spotify.com/track/4tmy6FB76bR5eLmx0zO1mn
1958,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,This Is Dean Martin,https://open.spotify.com/track/5OkKOkdVTKFrYi6GWXkMzR
1958,Hound Dog,Elvis Presley,Elvis' Golden Records,https://open.spotify.com/track/64Ny7djQ6rNJspquof2KoX
1958,Come Fly With Me - Remastered 1998,Frank Sinatra,Come Fly With Me (Expanded Edition),https://open.spotify.com/track/4hHbeIIKO5Y5uLyIEbY9Gn
1959,I Only Have Eyes for You,The Flamingos,Flamingo Serenade,https://open.spotify.com/track/3YdKJzcoMZMacISlpY4QoP
1959,"Shout, Pts. 1 & 2",The Isley Brothers,Shout!,https://open.spotify.com/track/2ZNTPtYmAhN9vCwnAgqKn1
1959,Johnny B. Goode,Chuck Berry,Berry Is On Top,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2
1959,Beyond the Sea,Bobby Darin,That's All,https://open.spotify.com/track/3KzgdYUlqV6TOG7JCmx2Wg
1960,At Last,Etta James,At Last!,https://open.spotify.com/track/4Hhv2vrOTy89HFRcjU3QOx
1960,I Just Want To Make Love To You - Single Version,Etta James,At Last!,https://open.spotify.com/track/3QnHWkNMY2mpy494Bis0ly
1961,Jump in the Line,Harry Belafonte,Jump Up Calypso,https://open.spotify.com/track/1zW2csx1vVJrKfvDrFQNVt
1961,Great Balls Of Fire,Jerry Lee Lewis,Jerry Lee's Greatest,https://open.spotify.com/track/64VP3skE86iTvdOlbzuIcO
1962,Do You Love Me,The Contours,Do You Love Me (Now That I Can Dance) [Remastered Edition],https://open.spotify.com/track/0BAM03vv3SHac8amyA181E
1962,Stand By Me,Ben E. King,Don't Play That Song,https://open.spotify.com/track/7jmHyHMEqm9MJWiMAneF05
1962,"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",https://open.spotify.com/track/48i055G1OT5KxGGftwFxWy
1963,You Don't Own Me,Lesley Gore,Lesley Gore Sings Of Mixed-Up Hearts,https://open.spotify.com/track/7ngRS53kqxLcEt9Pythc5d
1963,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),https://open.spotify.com/track/5ZBeML7Lf3FMEVviTyvi8l
1964,You Never Can Tell,Chuck Berry,St. Louis To Liverpool,https://open.spotify.com/track/6FT83pFXKhDlXDsNJFAHWz
1964,Be My Baby,The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica,https://open.spotify.com/track/1WN4uNclrDuczTO3bCr8s1
1964,Walk on By,Dionne Warwick,Make Way for Dionne Warwick,https://open.spotify.com/track/3xsOtNxtBW0oTI1OWKAzTm
1964,You Really Got Me,The Kinks,Kinks (Deluxe),https://open.spotify.com/track/29SyMC0plk6qw8NMF7lfRL
1965,I Put A Spell On You,Nina Simone,I Put A Spell On You,https://open.spotify.com/track/0sjxRg1VlYfx4YG7uxurrq
1965,My Girl,The Temptations,The Temptations Sing Smokey,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH
1965,It's Not Unusual,Tom Jones,Along Came Jones,https://open.spotify.com/track/3TlIt0ReIxPsVZcOEivT5U
1965,L-O-V-E,Nat King Cole,L-O-V-E,https://open.spotify.com/track/4QxDOjgpYtQDxxbWPuEJOy
1966,California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ
1966,Put Your Head on My Shoulder,Paul Anka,Sings His Favorites,https://open.spotify.com/track/7eqNATKM78MkWP6aHGXHEV
1966,"Paint It, Black",The Rolling Stones,Aftermath,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8
1967,Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,https://open.spotify.com/track/4CNL4GBNTdVIU5Nk6hB4LC
1967,Somethin' Stupid,"Frank Sinatra, Nancy Sinatra",The World We Knew,https://open.spotify.com/track/4feXcsElKIVsGwkbnTHAfV
1967,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,https://open.spotify.com/track/7tqhbajSfrz2F7E1Z75ASX
1967,I'm a Believer - 2006 Remaster,The Monkees,More of The Monkees (Deluxe Edition),https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2
1968,I Say a Little Prayer,Aretha Franklin,Aretha Now,https://open.spotify.com/track/3NfxSdJnVdon1axzloJgba
1969,Suspicious Minds,Elvis Presley,From Elvis in Memphis,https://open.spotify.com/track/1H5IfYyIIAlgDX8zguUzns
1969,Venus,Shocking Blue,At Home,https://open.spotify.com/track/0Z3xhSOhrawLV81YdiDiiJ
1969,Son Of A Preacher Man,Dusty Springfield,Dusty In Memphis,https://open.spotify.com/track/6ek9SiEj5a65WIs2EV7qiM
1969,Sugar Sugar,The Archies,Everything's Archie,https://open.spotify.com/track/6MTd61g9zq6CB1FnJydjEb
1970,Layla,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),https://open.spotify.com/track/2kkvB3RNRzwjFdGhaUA0tz
1970,I Walk the Line,Johnny Cash,I Walk the Line (Original Soundtrack Recording),https://open.spotify.com/track/7hxZF4jETnE5Q75rKQnMjE
1970,Paranoid - 2009 Remaster,Black Sabbath,Paranoid,https://open.spotify.com/track/3Jnxngdff0lVu2rza1GVx6
1971,(I Can't Get No) Satisfaction - Mono,The Rolling Stones,Hot Rocks 1964-1971,https://open.spotify.com/track/5FKkbyGm42hw1y08l2knlO
1971,Imagine - Remastered 2010,John Lennon,Imagine,https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9
1971,Tiny Dancer,Elton John,Madman Across The Water,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
1972,It Never Rains in Southern California,Albert Hammond,It Never Rains In Southern California,https://open.spotify.com/track/6tunhVGD8C05MZNjSVIsjw
1972,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
1972,Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),https://open.spotify.com/track/0pQskrTITgmCMyr85tb9qq
1973,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,https://open.spotify.com/track/2TjdnqlpwOjhijHCwHCP2d
1973,Dream On,Aerosmith,Aerosmith,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH
1974,Tyle słońca w całym mieście,Anna Jantar,Tyle słońca w całym mieście,https://open.spotify.com/track/0Z64VYDXM5lVZziPJHEd9L
1975,Don't Go Breaking My Heart,"Elton John, Kiki Dee",Rock Of The Westies,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
1975,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
1976,Daddy Cool,Boney M.,Take The Heat Off Me,https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g
1976,Sunny,Boney M.,Take The Heat Off Me,https://open.spotify.com/track/3pf96IFggfQuT6Gafqx2rt
1977,"""Heroes"" - 2017 Remaster",David Bowie,"""Heroes"" (2017 Remaster)",https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z
1977,Baby Come Back,Player,Player,https://open.spotify.com/track/41sGGCCoHI2GLV9qadX80A
1977,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
1978,Got to Be Real,Cheryl Lynn,Cheryl Lynn (Expanded Edition),https://open.spotify.com/track/58r4JuwHhXLAkttkaUZfLw
1978,September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs
1978,Blame It on the Boogie,The Jacksons,Destiny,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS
1978,Right Down the Line,Gerry Rafferty,City to City,https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
